,time,cpu,arrival_rate
0,1970-01-01 18:00:00,0.02059252601626021,123
1,1970-01-01 18:01:00,0.032663960784313766,102
2,1970-01-01 18:02:00,0.022274746268656703,67
3,1970-01-01 18:03:00,0.030614990361445858,166
4,1970-01-01 18:04:00,0.04255563992932862,283
5,1970-01-01 18:05:00,0.02618690880829025,193
6,1970-01-01 18:06:00,0.03131038316782524,2014
7,1970-01-01 18:07:00,0.012399375000000032,192
8,1970-01-01 18:08:00,0.010733883222591315,602
9,1970-01-01 18:09:00,0.03640700406976752,172
10,1970-01-01 18:10:00,0.033434685185185255,108
11,1970-01-01 18:11:00,0.0333693027522936,109
12,1970-01-01 18:12:00,0.0368902241228071,228
13,1970-01-01 18:13:00,0.03554769767441867,129
14,1970-01-01 18:14:00,0.031481140186915925,107
15,1970-01-01 18:15:00,0.01636221713859917,671
16,1970-01-01 18:16:00,0.0357451378881988,322
17,1970-01-01 18:17:00,0.02653075923913048,184
18,1970-01-01 18:18:00,0.03645552941176476,136
19,1970-01-01 18:19:00,0.027231214903846203,208
20,1970-01-01 18:20:00,0.01745534502923969,342
21,1970-01-01 18:21:00,0.049226028518518566,270
22,1970-01-01 18:22:00,0.018909062101063957,752
23,1970-01-01 18:23:00,0.016809891156462593,147
24,1970-01-01 18:24:00,0.0434658658536586,164
25,1970-01-01 18:25:00,0.03053896488549624,131
26,1970-01-01 18:26:00,0.018407474249116432,2264
27,1970-01-01 18:27:00,0.03766933990147792,203
28,1970-01-01 18:28:00,0.019596270881225977,261
29,1970-01-01 18:29:00,0.06566475516265911,2121
30,1970-01-01 18:30:00,0.03700591228070178,114
31,1970-01-01 18:31:00,0.02596061354581678,251
32,1970-01-01 18:32:00,0.0385227513513514,111
33,1970-01-01 18:33:00,0.038898711764706,170
34,1970-01-01 18:34:00,0.027009923255813948,86
35,1970-01-01 18:35:00,0.027885383928571452,112
36,1970-01-01 18:36:00,0.040760642384106,151
37,1970-01-01 18:37:00,0.024686252747252842,182
38,1970-01-01 18:38:00,0.02835792307692319,195
39,1970-01-01 18:39:00,0.049589296334790894,1828
40,1970-01-01 18:40:00,0.049641544915825904,8792
41,1970-01-01 18:41:00,0.038446609218436734,499
42,1970-01-01 18:42:00,0.042460448728617914,2163
43,1970-01-01 18:43:00,0.018037685195340693,4377
44,1970-01-01 18:44:00,0.026133822857142823,105
45,1970-01-01 18:45:00,0.03550188405315606,301
46,1970-01-01 18:46:00,0.024496072463768153,138
47,1970-01-01 18:47:00,0.026280337499999678,488
48,1970-01-01 18:48:00,0.03202409093484414,353
49,1970-01-01 18:49:00,0.024579279958246245,479
50,1970-01-01 18:50:00,0.016551015574963707,687
51,1970-01-01 18:51:00,0.023879121923076736,520
52,1970-01-01 18:52:00,0.016859395637354647,1467
53,1970-01-01 18:53:00,0.02106691692853574,1973
54,1970-01-01 18:54:00,0.018857660499999793,800
55,1970-01-01 18:55:00,0.01813133213572854,501
56,1970-01-01 18:56:00,0.020760769087523168,537
57,1970-01-01 18:57:00,0.01494956619289303,985
58,1970-01-01 18:58:00,0.028262113610585813,529
59,1970-01-01 18:59:00,0.05200846183115354,841
60,1970-01-01 19:00:00,0.03231932626050377,1428
61,1970-01-01 19:01:00,0.027369156327033132,2434
62,1970-01-01 19:02:00,0.060197903604651576,860
63,1970-01-01 19:03:00,0.04380468971428554,525
64,1970-01-01 19:04:00,0.03708621459227472,233
65,1970-01-01 19:05:00,0.03510403983050857,236
66,1970-01-01 19:06:00,0.04201012234726651,622
67,1970-01-01 19:07:00,0.061384264381174496,1721
68,1970-01-01 19:08:00,0.041018471305286006,927
69,1970-01-01 19:09:00,0.03155895164835153,364
70,1970-01-01 19:10:00,0.02396004060913713,197
71,1970-01-01 19:11:00,0.025403281434599075,474
72,1970-01-01 19:12:00,0.034535114157013894,777
73,1970-01-01 19:13:00,0.024136446090535085,243
74,1970-01-01 19:14:00,0.02963916294117644,340
75,1970-01-01 19:15:00,0.02465372457627127,236
76,1970-01-01 19:16:00,0.026325952472527364,728
77,1970-01-01 19:17:00,0.03593374577922061,308
78,1970-01-01 19:18:00,0.024386113720316634,379
79,1970-01-01 19:19:00,0.01342998899328863,745
80,1970-01-01 19:20:00,0.02689481506849326,292
81,1970-01-01 19:21:00,0.030545097171717016,495
82,1970-01-01 19:22:00,0.026913560300429084,466
83,1970-01-01 19:23:00,0.03153548051643178,426
84,1970-01-01 19:24:00,0.0265018525477708,314
85,1970-01-01 19:25:00,0.027273188006230333,642
86,1970-01-01 19:26:00,0.022255708598726005,628
87,1970-01-01 19:27:00,0.05613982432065216,736
88,1970-01-01 19:28:00,0.08397662103746482,1388
89,1970-01-01 19:29:00,0.02782479121951245,1845
90,1970-01-01 19:30:00,0.03549551092307675,650
91,1970-01-01 19:31:00,0.04154762962962963,945
92,1970-01-01 19:32:00,0.03336967891986044,574
93,1970-01-01 19:33:00,0.03191038253968227,693
94,1970-01-01 19:34:00,0.030221092190889254,461
95,1970-01-01 19:35:00,0.030915434489795723,490
96,1970-01-01 19:36:00,0.023384444904458703,314
97,1970-01-01 19:37:00,0.03492600456182462,833
98,1970-01-01 19:38:00,0.03238822564102586,1404
99,1970-01-01 19:39:00,0.02874954940944853,1016
100,1970-01-01 19:40:00,0.026004521294718735,587
101,1970-01-01 19:41:00,0.03663746688311752,1848
102,1970-01-01 19:42:00,0.038055688863636465,1320
103,1970-01-01 19:43:00,0.020727146650425927,821
104,1970-01-01 19:44:00,0.020682416675930647,1799
105,1970-01-01 19:45:00,0.028617182967032667,728
106,1970-01-01 19:46:00,0.028638779541108824,523
107,1970-01-01 19:47:00,0.0429670968810916,513
108,1970-01-01 19:48:00,0.04658928986666573,3000
109,1970-01-01 19:49:00,0.02759643178654281,431
110,1970-01-01 19:50:00,0.02067454028475667,1194
111,1970-01-01 19:51:00,0.017653573764905926,1761
112,1970-01-01 19:52:00,0.017427308939292452,1499
113,1970-01-01 19:53:00,0.022085985162601594,492
114,1970-01-01 19:54:00,0.02292805529865116,519
115,1970-01-01 19:55:00,0.023749392156862746,408
116,1970-01-01 19:56:00,0.02414962529069777,344
117,1970-01-01 19:57:00,0.020619751520000066,625
118,1970-01-01 19:58:00,0.025460919772727346,440
119,1970-01-01 19:59:00,0.03456245973053868,668
