,time,vm_forecast
0,1970-01-01 12:00:00,50
1,1970-01-01 12:01:00,50
2,1970-01-01 12:02:00,50
3,1970-01-01 12:03:00,50
4,1970-01-01 12:04:00,103
5,1970-01-01 12:05:00,103
6,1970-01-01 12:06:00,84
7,1970-01-01 12:07:00,58
8,1970-01-01 12:08:00,58
9,1970-01-01 12:09:00,58
10,1970-01-01 12:10:00,58
11,1970-01-01 12:11:00,74
12,1970-01-01 12:12:00,74
13,1970-01-01 12:13:00,71
14,1970-01-01 12:14:00,71
15,1970-01-01 12:15:00,71
16,1970-01-01 12:16:00,133
17,1970-01-01 12:17:00,113
18,1970-01-01 12:18:00,93
19,1970-01-01 12:19:00,61
20,1970-01-01 12:20:00,59
21,1970-01-01 12:21:00,59
22,1970-01-01 12:22:00,59
23,1970-01-01 12:23:00,63
24,1970-01-01 12:24:00,63
25,1970-01-01 12:25:00,63
26,1970-01-01 12:26:00,63
27,1970-01-01 12:27:00,63
28,1970-01-01 12:28:00,85
29,1970-01-01 12:29:00,85
